 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,MT,M
B:AA,0.04484900574286049,0.06808833624476082,0.07110208227526663,0.09116581742280067,0.03199035601270238,0.030360700751762205,0.0623789618203026,0.040049336138721615,0.026671652369976394,0.025376857779092415,0.03369814542998901,0.0688696778082253,0.04683584571852728,0.01881358864599088,0.05815971737759447,0.034808766652342074,0.06482344471171286,0.06326634259595154,0.018601510221621955,0.053248427550103526,0.012244738501721742,0.023406760836928435,0.01118992739104471,0.0,0.0
B:AG,0.039988830756569275,0.07033684086767386,0.0594076381948935,0.07625947916054318,0.026718005996120158,0.03129837556091157,0.06444359532067485,0.03977328395352027,0.02852565986714479,0.02656124468481179,0.03556522250308624,0.07208570924695785,0.04748887974447906,0.01279074324456724,0.054788078302275,0.028070072306154843,0.07234534516881233,0.07194364430858464,0.015671232339858523,0.0687251386357847,0.014240785374169654,0.024797679932592635,0.018174514529814043,0.0,0.0
B:CC,0.03668313420232745,0.06929467830070561,0.05416816298007396,0.06713028117750969,0.023250283895138356,0.03165066824547952,0.0634323650163543,0.03976473100329027,0.030345235899874794,0.026928788422901844,0.03576593452456057,0.07526860847706031,0.046146305480874686,0.00958934689559453,0.05309567023517194,0.024051013772553892,0.07590433947064476,0.0789616717298677,0.014515048868787064,0.08268870534111093,0.016189302248837727,0.023245430986790383,0.021930292824489717,0.0,0.0
B:GA,0.041679738789928075,0.06989809553688663,0.06020729482576312,0.07824101509394499,0.026481216811331497,0.03127432867384762,0.06477963305097548,0.040041366007831654,0.027364311360546588,0.026365020160118987,0.03564332275943807,0.07192572710054496,0.04721069938764365,0.014210850443290225,0.0539384854928481,0.028706382682051102,0.07054879678367669,0.07221621872857624,0.01690080291885988,0.06901500098767153,0.01405979479671396,0.021676485283694123,0.017615412323816828,0.0,0.0
N:AA,0.025647786487428607,0.09371564430064086,0.07369437169850108,0.025889114326829398,0.03257478928504393,0.029419651236581724,0.028458808913041537,0.09901144966526935,0.01893976635889919,0.05578695220814973,0.05221172495776763,0.048806321001778674,0.05639474084071469,0.01839454420321592,0.05190783064148515,0.058249389976850405,0.0758707912871712,0.06468479902753818,0.009340281191623242,0.025352830239272085,0.012584799921345001,0.013903164969923401,0.029160447260929024,0.0,0.0
N:AG,0.03021731713703119,0.09785221799947634,0.06675420709791569,0.02237438212588367,0.030594190594825328,0.023021017637677825,0.025671033109325038,0.10225171973309426,0.021335004800177724,0.04768044304450281,0.047029840443679236,0.043082586859414296,0.04866031403476757,0.015241556051000896,0.05893507462094464,0.06958670866491586,0.08833913850694637,0.06009743170656236,0.007029681760118061,0.028122694129501653,0.011183223973912422,0.010250958052000603,0.04468925791632616,0.0,0.0
N:CC,0.0309440587730796,0.09740359564380148,0.05946486075375827,0.020660388044727092,0.03547097755554477,0.020102108516594656,0.024713982879427804,0.10234720132045245,0.02048238587633704,0.04436704047122029,0.05406006764082399,0.04199232972474392,0.04076654206514879,0.014207809440587731,0.05688787481592958,0.0676934155379711,0.10009790119261452,0.05864362347686781,0.007164587277699565,0.03276453549525058,0.01096331537129634,0.008236645791866918,0.05056475233425571,0.0,0.0
N:GA,0.02945576309415192,0.0976717905491462,0.06617820736671962,0.023629450205403003,0.03303121106721564,0.024222270594719267,0.025820106800298264,0.10146028334962046,0.021378585289717807,0.0491901980853754,0.04778224966074927,0.044382795240763814,0.04920409231325,0.015496695489470491,0.05793429882779031,0.06639125219413015,0.08421754655724191,0.060504730984591304,0.007303732452748047,0.029478920140609585,0.011462737996544969,0.010629084324068972,0.04317399741567361,0.0,0.0
Q:AC,0.03686823924527469,0.10035702706961777,0.07444772218335553,0.05686677379820794,0.038993338238231506,0.04515022338030459,0.04898588051788498,0.04930667290318112,0.03293843215231013,0.04030180179728049,0.039337617925830314,0.05759608464663153,0.052840006303429846,0.0183393674287326,0.032119588510493506,0.03571394874749444,0.0454521456252892,0.05843118872850385,0.015693332115473215,0.06467620144075528,0.023280332997752645,0.01050585024536201,0.021798223998602807,0.0,0.0
Q:AT,0.039251847403738965,0.09964135215634767,0.085396645473158,0.06139707728995973,0.04749235136993131,0.051010608749238136,0.05308310449291888,0.04937255369409528,0.03542921915377401,0.0386093699747882,0.04206765279830032,0.0539463632553889,0.05633147637114954,0.02267038209039815,0.03341632312491426,0.0362962263259812,0.03500864758126365,0.04955510124829541,0.01847141350282143,0.046445045689366284,0.019660783912425154,0.009706881855372858,0.015739572486372658,0.0,0.0
Q:CA,0.03704093438496971,0.10142816516217044,0.07310027672369505,0.05694097280682441,0.03754090416553344,0.04394634539088841,0.04839818100578918,0.04863818268944349,0.032642387508148456,0.04068035283350386,0.03891804704734522,0.05916466462901325,0.05264360707825539,0.01749502998199785,0.031834422312304926,0.03619613925116237,0.04643283838213772,0.05996561459857796,0.015155586926208454,0.06500308669956269,0.023837469079041093,0.010312922262658706,0.02268386908076792,0.0,0.0
Q:CG,0.03357124168867672,0.09377745166679578,0.06109270240602669,0.04644328714023243,0.03130933396866509,0.040612754090069966,0.04266783793778329,0.04957195497524691,0.033882573736730016,0.04182884922612792,0.037650714675140355,0.05821251554833174,0.044657878235551195,0.015437976955581833,0.029996038920890963,0.03245161563793106,0.05974871264928956,0.06789084961492757,0.014219689340312239,0.0942685670102038,0.029130009632292002,0.011738533699136309,0.029838911244056555,0.0,0.0
